kic,prot,teff
4946483,31.693,3569
4948088,14.047,4377
4948108,18.472,4260
4949004,41.883,4267
4950074,34.353,4163
4950433,13.581,4004
4951383,20.139,4385
4951466,18.886,3778
4951915,22.17,3773
4953211,1.361,4377
4953282,36.754,3488
4953358,0.653,3843
4953998,13.423,4178
4991533,17.779,3898
4991624,31.259,4207
4992056,46.222,3381
4992743,58.563,4393
4994563,13.177,4127
4994641,23.104,3813
4994806,36.69,4378
4995581,42.126,3418
4996874,28.508,4049
4996878,34.583,4066
5000970,45.893,3589
5002643,24.134,4266
5005406,31.32,3677
5006384,13.261,4175
5006728,43.302,4160
5008368,14.658,4188
5008689,17.127,4362
5010036,26.847,4269
5015405,31.177,3897
5016098,15.087,4055
5016839,12.822,4217
5016917,14.43,4221
5017523,38.926,4262
5018976,1.716,4322
5019013,31.836,4321
5019722,23.27,3946
5020113,49.396,4038
5020179,41.704,4123
5020403,34.447,4133
5027511,43.511,4213
5027650,26.848,4048
5027715,43.942,3668
5032343,10.092,4404
5035505,28.394,4328
5035870,31.847,3951
5040378,25.799,4233
5041192,10.729,3591
5042629,12.477,4172
5077615,29.086,3997
5077772,11.138,4206
5077889,48.559,3402
5078254,18.581,4194
5078498,37.188,4297
5078666,22.384,4107
5080470,22.086,4054
5080798,39.127,4372
5083330,1.96,3783
5083480,39.64,3756
5084199,1.584,4293
5087108,28.723,3692
5087223,32.665,3897
5091741,27.361,4394
5092403,33.621,4150
5093851,14.637,4102
5094427,18.681,4278
5094486,38.017,4293
5095098,0.745,4026
5095193,23.593,4086
5095561,41.708,4110
5096151,25.966,4115
5096204,14.943,3977
5096924,26.855,3734
5098460,15.725,4317
5098783,31.643,4210
5106934,25.098,4163
5107944,17.895,4079
5107956,40.358,4246
5108451,45.786,3529
5108769,32.002,3568
5110832,26.574,3415
5112117,13.746,4014
5112157,27.54,3879
5113378,24.578,4287
5113825,17.174,4179
5115335,0.783,4211
5121964,23.178,4203
5122859,39.301,3654
5123323,28.235,4067
5123682,21.497,3735
5124109,22.473,4295
5124372,36.948,3944
5124568,40.755,4329
5124735,17.337,3830
5125261,27.082,3687
5125783,11.658,4106
5126225,23.743,4229
5127939,12.998,4205
5131330,20.814,4339
5131463,6.871,4138
5164701,30.885,3647
5165017,5.085,4089
5165604,31.433,4186
5165872,17.566,3709
5167899,11.959,4213
5168614,27.409,3644
5168620,34.025,4112
5168677,25.4,3931
5168723,13.216,4332
5168796,19.759,4121
5171285,23.901,4342
5172447,17.958,4389
5174376,27.091,4317
5174665,17.861,4300
5176204,14.041,4388
5177193,27.055,3820
5179375,25.183,4087
5180528,45.381,3632
5181086,42.39,4165
5181985,13.406,4144
5182604,12.904,4289
5182822,15.455,3887
5184740,42.898,3751
5184882,17.006,4322
5185309,14.129,3914
5185991,31.918,4403
5191975,35.63,4106
5192836,34.051,4072
5193112,21.296,3500
5194645,4.379,4313
5194698,11.523,4137
5195727,23.496,4259
5195911,43.769,4335
5196068,23.84,3982
5196573,23.544,4279
5199830,24.869,4258
5200185,3.741,4348
5200198,53.254,3423
5200500,19.125,3799
5201075,33.164,4364
5201711,38.254,3744
5202421,23.522,3982
5207289,18.506,3686
5210507,8.553,3817
5211083,38.64,3957
5211089,42.094,4125
5211564,32.224,3719
5211598,37.976,3794
5212823,11.899,4023
5212855,33.736,3992
5213402,22.176,4117
5215305,13.615,4032
5216777,13.25,4159
5219067,21.493,3590
5252367,41.45,3312
5253844,47.719,3460
5253858,15.032,4102
5254309,15.0,3966
5255326,22.242,4196
5255412,41.933,3969
5255954,23.398,3903
5256967,21.942,4199
5257119,37.903,4303
5262561,7.907,3612
5263823,31.346,3729
5264013,20.421,4242
5264059,23.752,4360
5264478,20.873,4132
5265188,36.617,3967
5266549,15.527,3702
5268680,41.434,3435
5268696,54.037,3490
5268904,4.351,3404
5269670,29.592,4355
5270192,35.535,4384
5271270,21.909,4204
5271767,28.323,4300
5272400,40.277,4272
5273446,15.908,4121
5273487,21.051,3708
5284217,20.821,3921
5284449,20.59,4320
5285116,38.23,4269
5285707,21.806,3439
5286398,29.047,3779
5288638,18.061,4090
5288957,19.767,4314
5294203,11.603,4331
5295082,15.8,3985
5295303,14.952,4233
5296510,23.42,4268
5298650,11.967,4138
5300023,36.366,3732
5301955,0.687,4324
5305939,13.119,4311
5306127,13.695,4180
5307816,36.873,4034
5308344,11.449,4287
5309731,38.604,4095
5340107,31.198,3710
5340862,28.798,4302
5341053,43.739,4219
5341647,29.729,4222
5341666,34.623,3752
5341795,18.676,3635
5342009,26.034,3687
5342922,16.985,3982
5343801,23.039,4189
5344105,17.829,3959
5344559,33.367,3367
5344609,29.707,4296
5344752,11.312,4091
5344895,3.486,4264
5345182,10.706,4388
5350780,26.092,3448
5351023,11.685,4312
5351450,12.725,4264
5353137,19.262,3546
5353192,36.838,4098
5353335,19.346,3748
5353938,31.893,3916
5354075,40.734,3738
5354491,35.492,4383
5356586,30.95,4165
5357850,23.454,4370
5359075,12.372,4361
5359490,29.899,3898
5359848,18.68,4327
5360129,3.58,3742
5360976,15.45,3783
5368862,10.023,4316
5369438,16.857,4359
5370701,41.869,4264
5371717,15.763,4322
5372048,11.438,4267
5372687,18.903,4286
5373555,24.003,4244
5374608,34.307,4404
5374713,34.963,4308
5376156,18.078,4294
5377130,18.215,3939
5381046,22.316,4135
5384366,23.5,4060
5384707,35.171,3929
5385113,32.547,4093
5386327,19.666,3692
5391780,31.567,4364
5393025,35.837,4087
5394048,12.071,4246
5396894,25.607,4082
5396951,27.198,4278
5397064,43.152,3815
5397172,12.429,4358
5397422,9.363,3967
5425643,19.669,4105
5426168,13.441,4292
5427241,18.851,3846
5428192,23.131,4118
5428199,22.27,3700
5428929,22.719,3962
5430495,22.151,3884
5431793,28.032,4357
5435923,27.739,3474
5436582,16.856,4097
5437354,16.551,3752
5437459,13.193,3893
5438179,11.823,4163
5439433,38.914,3992
5439836,44.862,3490
5442026,13.433,4308
5442366,32.568,4363
5443858,24.169,4097
5445048,32.437,4378
5445312,29.464,4252
5445367,20.968,3511
5446657,22.066,4360
5446821,0.652,4282
5449651,19.987,4060
5450334,38.705,4296
5456247,10.957,4353
5456253,18.754,4092
5456998,31.912,4202
5457269,44.854,4078
5458843,33.31,4210
5459288,33.568,3835
5459593,24.704,3617
5460315,27.636,4147
5460828,1.912,4251
5461759,37.797,3879
5466017,13.209,3963
5469402,34.834,4138
5469546,24.079,4181
5471468,18.423,3652
5472185,34.239,3640
5474188,15.222,4149
5474672,14.447,4084
5479699,36.28,4148
5480340,20.777,3911
5510966,13.289,4149
5511275,24.422,4251
5511366,28.857,4257
5512161,36.341,4254
5512409,29.939,4119
5513085,29.628,4324
5513611,35.037,4132
5513769,22.871,3649
5513890,36.566,4100
5514976,55.079,3356
5515000,20.688,3590
5515133,26.724,3954
5516027,15.464,3771
5517480,28.485,4191
5520896,13.44,3986
5522034,51.015,3473
5522339,9.909,4147
5523937,11.675,4261
5524498,13.795,3934
5527100,38.945,4354
5527289,32.325,3876
5529047,16.812,3919
5529682,50.479,4041
5531567,28.129,4201
5534656,30.957,3905
5535083,20.697,4153
5535786,16.348,4215
5541914,12.997,3980
5542488,35.051,4022
5543652,24.868,3890
5543693,14.379,4064
